QueryType,QueryText,KccAns,,,,
"	Plant Protection	",USE OF PLANOFIX,????? ??? ?? ?? ??? ??????????? ?? ?????? ?? ???? ?? ?????? ??????,,,,
"	Plant Protection	","
 Animal Repellent,",????? ??? ?? MBF TAR  ? ?? ? ???? ????? ???? ???? ?????? ?????? ???,,,,
Government Schemes,Pradhan Mantri KIsan Samman Nidhi Yojna Related query,"Payment Status:	1st installment payment done	2nd installment payment done	3rd installment payment done	4th installment payment done	5th installment payment done
Bank Name:	SIWAN CENTRAL CO-OP.BANK LTD.	SIWAN CENTRAL CO-OP.BANK LTD.	SIWAN CENTRAL CO-OP.BANK LTD.	SIWAN CENTRAL CO-OP.BANK LTD.	SIWAN CENTRAL CO-OP.BANK LTD.
Credited Account:	***********1117	***********1117	***********1117	***********1117	***********1117
Credit Date:	02/07/2019	17/08/2019	02/01/2020	08/04/2020	10/08/2020
UTR No:	0592826499	1491257051	4233648417	6673763169	9825613186
Transaction Failed Reason:	-----	-----	-----	-----	-----
FTO Pending Reason:	-----	-----	-----	-----	-----
Status	6th Installment	7nth Installment			
Payment Status:	FTO is generated and Payment confirmation is pending	-----			
Bank Name:	-----	-----			
Credited Account:	-----	-----			
Credit Date:	-----	-----			
UTR No:	-----	-----			
Transaction Failed Reason:	-----	-----			
FTO Pending Reason:	-----	-----	",,,,
Government Schemes,Pradhan Mantri KIsan Samman Nidhi Yojna Related query,"?????? ?????? ????? ?????? ???? ????? ????? ???? ???? 01123382401, 01123381092,1800115526,",,,,
"	Plant Protection	",PLANT PROTECTION OF POTATO CROP,???  ????? ????? ?? ???? ?? ??? ???? ?? % ???????? ?? ?? % ????????????? ?? ?????? ?? ? ????? ?? ????? ???? ???? ??? ?????? ?????? ???? ?????,,,,
Nutrient Management,Use multi micro nutrients,??????? ?? ??????? ??????????? ? ? ???? / ???? ???? ??? ??? ????? ?????? ???,,,,
Government Schemes,"Kisan credit card related Query
",?? ???? ???? ???? ????????? ?? ?????? ??? |,,,,
Government Schemes,"Kisan credit card related Query
",????? ??????? ????? ?? ??? ???? ??? ?????? ????,,,,
Government Schemes,Cooperative dept of Bihar helpline no.,"???????? ????? ?? ????? ???? ???? (0612)-2200693.,1800-345-6290",,,,
Government Schemes,PM KISAN SAMMAN NIDHI SCHEME,"--Aadhar Status: Aadhar Number is not Verified	

?? ????? ?????? ?? ??????? ???",,,,
