queryType,question,answer
"	Plant Protection	",USE OF PLANOFIX,"Farmers, you will be able to sprinkle the planquix in common "
"	Plant Protection	","
 Animal Repellent,","Farmer Brother, you sprinkle MBF TAR by mixing water per liter "
Government Schemes,Pradhan Mantri KIsan Samman Nidhi Yojna Related query,"Prime Minister Farmer Honor Fund Scheme Help Line No. 01123382401, 01123381092,1800115526, "
"	Plant Protection	",PLANT PROTECTION OF POTATO CROP,"To prevent potato repetition, you should spray 2 grams per liter of water in 63% and 12% carbendajim. "
Nutrient Management,Use multi micro nutrients,Sagarika's Micro Nutrient Spray and spray into 5 mixed water water 
Government Schemes,"Kisan credit card related Query
",You should contact your district agricultural office. 
Government Schemes,"Kisan credit card related Query
",Contact the bank for farmer credit card 
Government Schemes,Cooperative dept of Bihar helpline no.,"Cooperative Department's Help Line Number (0612) -2200693, 1800-345-6290 "
Government Schemes,PM KISAN SAMMAN NIDHI SCHEME,#NAME?
Government Schemes,"PM KISAN SAMMAN NIDHI SCHEME     
HELP LINE NUMBER","PM Kisan Samman Nidhi Scheme  Help line number  01124300606  - PM Farmer Help Line Number: - 013381092,011-23381092,011-23382401 "
Government Schemes,pm kisan samman nidhi yojna,Prime Minister Kisan Honor Nidhi Center No. 011-3381092 OR 1800115526 OR 011-24300606 at 10 o'clock at 10 o'clock at 10 o'clock on Saturday at 10 o'clock. 
Government Schemes,PM KISAN SAMMAN NIDHI YOJANA,#NAME?
Nutrient Management,use multi micro nutrients,Sprinkle you by making a slurry in Sagarika Multi Micro Nutrients @ 2 Found / liters 
Government Schemes,pacs related query,"- Cooperative Department Helpline Number -18003456290,06122200693 "
Seeds and Planting Material,cauliflower  in  seed information,"- Contact your own district agricultural officer Phone: 089872 98090 (Agricultural Science Center, Bhagwanpur Hut, Siwan) "
Government Schemes,"TELL ME ABOUT PMKISAN STATUS ?
","Kailash Yadav, your application is pending with ADM (Revenue). "
Government Schemes,"TELL ME ABOUT PMKISAN SAMMAN NIDHI YOJANA APPLICATION  STATUS ?
",#NAME?
Government Schemes,Dbt kisan registration related Query,"Farmers, please contact Basuda Kendra "
Government Schemes,govt scheme,--https: //dbtagriculture.bihar.gov.in/checkstatuspmkisan.aspx 
Government Schemes,PRADHAN MANTRI KISAN SAMAN NIDHI YOJANA RELATED QUERY,"- Farmer helpline no.011-24300606, 01123381092 "
Government Schemes,Pm kisan samman nidhi yojna related query,"Prime Minister Farmer Honor Fund Scheme Help Line No. 01123381092, 0612233555 "
"	Plant Protection	",Plant protection,#NAME?
Government Schemes,"Pm kisan samman nidhi yojna related query
","Prime Minister Farmer Honor Fund Scheme Help Line No. 01123381092, 0612233555 "
Disease Management,animal buffalo disease management related query,#NAME?
Government Schemes,Pradhan Mantri Kisan Samman Nidhi Yojna related query,Farmer Brother Please contact you by receiving information about the registration number. 
Government Schemes,Pradhan Mantri Kisan Samman Nidhi Yojna related query,"F.T.O. Means Fund Transfer Order Farmer Brother, wait for the amount for the Prime Minister Farmer Honor Fund Scheme. "
Weather,Farmer asked query on Weather,"There is no possibility of heir in your area. The maximum temperature is 24 degrees Celsius, and the minimum temperature is likely to be 15 degrees Celsius. Light cloud shadow. The speed of air is likely to be 4 km / h. "
Government Schemes,Krishi input Subsidy related query,"For information about Kisan Bhai, Agricultural Input Grant Plan, contact the District Agriculture Officer / Panchayat Agricultural Coordinator / Panchayat Farmer Advisor in the Kisan Bhawan of your block. "
Government Schemes,Pradhan Mantri Kisan Samman Nidhi Yojna related query,"Farmers Brother, you apply the District Agriculture Officer in the event of the benefit of the Prime Minister's Farmer Honor Fund Scheme. "
Government Schemes,Pradhan Mantri Kisan Samman Nidhi Yojna related query,"- Help Minister Agriculture Honor Fund Scheme of Help Line Number: - 011-23381092,011-23382401 "
Government Schemes,Krishi input Subsidy related query,"For information about Kisan Bhai, Agricultural Input Grant Plan, contact the District Agriculture Officer / Panchayat Agricultural Coordinator / Panchayat Farmer Advisor in the Kisan Bhawan of your block. "
Weather,Farmer asked query on Weather,"There is no possibility of rain in your area, partly cloudy will remain. The expected maximum temperature (23 degrees Celsius and the minimum temperature of 13 degrees Celsius and the speed of 4 kilometers per hour) is likely to run "
Crop Insurance,"Fasal bima yojna related query
",- Fasal Insurance Related / Bihar State Crop Assistance Scheme can get from 0612-2200693. 
"	Plant Protection	",First spray in mango before flowering,"Before the first spraying in mango, one is done with a recommended insecticide. The first spraying is done in such a way that the insecticides reached hidden insects in the cracks of the tree bark because it is increasing its number with the increase in the temperature of the atmosphere.
Splatter mixed with soluble sulfur 3 grams per liter.
Pesticide Imidaclop Sprinkle 17.8 SL @ 1 ml / 3 liters of water and stickers. "
Nutrient Management,Zinc deficiency in wheat crop,"Symptoms of the lack of zinc in the crop (the color of wheat plant is light yellow), 2.5 kg zinc sulphate, 1.25 kg extinguished lime and 12.5 kg urea dissolved in 500 liters of water 15 days Spraying the weather at the interval of the weather. "
Government Schemes,Pm kisan samman nidhi yojna related query,#NAME?
Government Schemes,Pm kisan samman nidhi yojna related query,#NAME?
Government Schemes,krishi input anudan related query,#NAME?
Government Schemes,PRADHAN MANTRI KISAN SAMAN NIDHI YOJANA RELATED QUERY,Give written application to the district agricultural office 
Animal Nutrition,ANIMAL NUTRITION RELATED QUERY,#NAME?
Government Schemes,Pradhan Mantri Kisan Samman Nidhi Yojna related query,"A few rules have been made to take advantage of the farmer's brother Prime Minister's Honor Fund Scheme, if the land can apply for the farmer's brother's plan, whose name is not land can not take advantage of the scheme. You apply for the Prime Minister's Farmer Honor Fund Scheme. "
